id	nickname	path_ancestors	wallet_balance
151	SpecialAccount	/	0
152	CompanyAgent	/	0
201	asloppical	/	0
202	devlordz	/	0
203	devlord2z	/	0
204	devlord3z	/	0
205	Kwon_DL1	/	0
206	test001	/	0
207	MrTony	/	0
208	TuyetLynk12	/	0
209	ANHNAM2	/	0
210	Aho6868	/	0
211	Kwon_User	/	0
212	Kwon_User2222	/	0
213	KwonDL_2026	/	0
214	TDLskunk	/	0
215	KwonDe_3	/	0
216	testag003	/	0
217	thuycung	/	0
218	congvien	/	0
219	vuonquocgia	/	0
220	congviennuilua	/	0
221	congvienthonigg	/	0
222	camapcon	/	0
223	canock	/	0
224	vqgnamcattien	/	0
225	vqgnuibaden	/	0
226	gfnjedgfhtjkty	/	0
227	sunkr9111	/	0
